min,max,weight
0,0.1,0
0.1,0.2,0.1
0.2,0.3,0.2
0.3,0.4,0.3
0.4,0.5,0.4
0.5,1,0.5
1,1,0.8
2,2,0.9
3,3,0.95
4,11,1
