min,max,weight
0,0,1
6,14900,1
14939,34469,0.8
34581,49005,0.7
49250,69584,0.6
69728,100201,0.2
100229,136373,0.15
136404,183599,0.1
184759,277833,0.05
277919,5.00E+05,0
501599,863234556,0
