min,max,weight
0,0,0.7
11,41613,1
42498,66866,0.8
67100,105018,0.7
105269,152675,0.6
152924,203265,0.55
203554,287900,0.5
288348,418668,0.4
418960,633000,0.2
634479,1575000,0
1580000,1.00E+07,0
