min,max,weight
0,0,0.6
1,1667,1
1811,3250,1
3333,4167,1
4250,10000,0.9
10167,15000,0.8
16833,20000,0.7
21620,25000,0.6
26098,30506,0.2
32314,50000,0.1
50326,500000,0
