min,max,weight
0,0,0
11,31601,1
31899,43000,0.95
43063,50300,0.9
50500,62000,0.5
62342,82008,0.5
82378,117389,0.1
117471,271000,0.08
275000,476000,0.06
480000,968660,0.04
975000,2.70E+08,0
