min,max,weight
0,0,1
11,22206.66667,1
22296,29023.5,0.8
29037.85714,35340.83333,0.7
35356,42004,0.6
42232,50405,0.5
50498,75845.57143,0.4
76000,136075.3333,0.3
136453.5,225000,0.2
225410.6667,466631.5,0.1
470000,10000000,0
