 min , max ,risk_band_gen2
0.626247849,1,10
0.5484,0.626247849,9
0.49729,0.5484,8
0.458537849,0.49729,7
0.42458,0.458537849,6
0.394075455,0.42458,5
0.36325,0.394075455,4
0.331114932,0.36325,3
0.28931,0.331114932,2
0,0.28931,1
