min,max,weight
0,0.1,0
0.1,0.2,0.1
0.2,0.3,0.15
0.3,0.4,0.2
0.4,0.5,0.22
0.5,0.6,0.24
0.6,0.7,0.26
0.7,1,0.5
1,1,0.6
2,2,0.7
3,3,0.8
4,4,0.9
5,5,1
