min,max,weight
300,538,1
539,564,0.533
565,588,0.533
589,609,0.533
610,630,0.52
631,648,0.5
649,670,0.48
671,685,0.46
686,697,0.44
698,711,0.42
712,722,0.4
723,733,0.38
734,745,0.36
746,756,0.35
757,769,0.35
770,778,0.35
779,789,0.302
790,801,0.25
802,817,0.2
818,900,0.1
