Industry,FileType,ScoreBand,AnchorTSFactor,BankBalanceEODFactor,HighestAmountBorrowedFactor,PBTFactor,LoanCap,EligibleForOD,MaxTenor
Restaurant,No Hit,7,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,8,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,9,NA,NA,NA,NA,NA,NA,NA
Restaurant,No Hit,10,NA,NA,NA,NA,NA,NA,NA
MCA,Thick,1,27,1.25,7,NA,5000000,NA,24
MCA,Thick,2,24,1,6,NA,4000000,NA,24
MCA,Thick,3,18,0.9,5,NA,3000000,NA,18
MCA,Thick,4,18,0.8,4,NA,2000000,NA,18
MCA,Thick,5,15,0.8,3,NA,1500000,NA,12
MCA,Thick,6,12,0.7,2,NA,700000,NA,9
MCA,Thick,7,12,0.7,2,NA,500000,NA,9
MCA,Thick,8,NA,NA,NA,NA,NA,NA,NA
MCA,Thick,9,NA,NA,NA,NA,NA,NA,NA
MCA,Thick,10,NA,NA,NA,NA,NA,NA,NA
MCA,Thin,1,24,1.25,5,NA,1500000,NA,24
MCA,Thin,2,18,1,5,NA,1200000,NA,18
MCA,Thin,3,18,0.9,4,NA,1000000,NA,18
MCA,Thin,4,15,0.8,3,NA,700000,NA,12
MCA,Thin,5,12,0.8,3,NA,500000,NA,12
MCA,Thin,6,10.527,0.7,2,NA,300000,NA,9
MCA,Thin,7,10.527,0.7,1,NA,200000,NA,9
MCA,Thin,8,10.527,0.7,1,NA,200000,NA,9
MCA,Thin,9,NA,NA,NA,NA,NA,NA,NA
MCA,Thin,10,NA,NA,NA,NA,NA,NA,NA
MCA,No Hit,1,NA,NA,NA,NA,NA,NA,NA
MCA,No Hit,2,NA,NA,NA,NA,NA,NA,NA
MCA,No Hit,3,NA,NA,NA,NA,NA,NA,NA
MCA,No Hit,4,NA,NA,NA,NA,NA,NA,NA
MCA,No Hit,5,NA,NA,NA,NA,NA,NA,NA
MCA,No Hit,6,NA,NA,NA,NA,NA,NA,NA
MCA,No Hit,7,NA,NA,NA,NA,NA,NA,NA
MCA,No Hit,8,NA,NA,NA,NA,NA,NA,NA
MCA,No Hit,9,NA,NA,NA,NA,NA,NA,NA
MCA,No Hit,10,NA,NA,NA,NA,NA,NA,NA
Ecommerce,Thick,1,3,1.25,7,NA,5000000,NA,NA
Ecommerce,Thick,2,2.5,1,6,NA,4000000,NA,NA
Ecommerce,Thick,3,2.5,0.9,5,NA,3000000,NA,NA
Ecommerce,Thick,4,2,0.8,4,NA,2000000,NA,NA
Ecommerce,Thick,5,1.5,0.8,3,NA,1500000,NA,NA
Ecommerce,Thick,6,1,0.7,2,NA,700000,NA,NA
Ecommerce,Thick,7,0.8,0.7,2,NA,500000,NA,NA
Ecommerce,Thick,8,NA,NA,NA,NA,NA,NA,NA
Ecommerce,Thick,9,NA,NA,NA,NA,NA,NA,NA
Ecommerce,Thick,10,NA,NA,NA,NA,NA,NA,NA
Ecommerce,Thin,1,3,1.25,5,NA,1500000,NA,NA
Ecommerce,Thin,2,2.5,1,5,NA,1200000,NA,NA
Ecommerce,Thin,3,2,0.9,4,NA,1000000,NA,NA
Ecommerce,Thin,4,1.5,0.8,3,NA,700000,NA,NA
Ecommerce,Thin,5,1.5,0.8,3,NA,500000,NA,NA
Ecommerce,Thin,6,1,0.7,2,NA,300000,NA,NA
Ecommerce,Thin,7,0.8,0.7,1,NA,200000,NA,NA
Ecommerce,Thin,8,0.8,0.7,1,NA,200000,NA,NA
Ecommerce,Thin,9,NA,NA,NA,NA,NA,NA,NA
Ecommerce,Thin,10,NA,NA,NA,NA,NA,NA,NA
Ecommerce,No Hit,1,NA,NA,NA,NA,NA,NA,NA
Ecommerce,No Hit,2,NA,NA,NA,NA,NA,NA,NA
Ecommerce,No Hit,3,NA,NA,NA,NA,NA,NA,NA
Ecommerce,No Hit,4,NA,NA,NA,NA,NA,NA,NA
Ecommerce,No Hit,5,NA,NA,NA,NA,NA,NA,NA
Ecommerce,No Hit,6,NA,NA,NA,NA,NA,NA,NA
Ecommerce,No Hit,7,NA,NA,NA,NA,NA,NA,NA
Ecommerce,No Hit,8,NA,NA,NA,NA,NA,NA,NA
Ecommerce,No Hit,9,NA,NA,NA,NA,NA,NA,NA
Ecommerce,No Hit,10,NA,NA,NA,NA,NA,NA,NA
DTDC,Thick,1,2,1.25,7,NA,5000000,NA,NA
DTDC,Thick,2,1.5,1,6,NA,4000000,NA,NA
DTDC,Thick,3,1,0.9,5,NA,3000000,NA,NA
DTDC,Thick,4,0.8,0.8,4,NA,2000000,NA,NA
DTDC,Thick,5,0.7,0.8,3,NA,1500000,NA,NA
DTDC,Thick,6,0.6,0.7,2,NA,700000,NA,NA
DTDC,Thick,7,0.5,0.7,2,NA,500000,NA,NA
DTDC,Thick,8,NA,NA,NA,NA,NA,NA,NA
DTDC,Thick,9,NA,NA,NA,NA,NA,NA,NA
DTDC,Thick,10,NA,NA,NA,NA,NA,NA,NA
