Pincodes,location_risk_weight,location_band,District/City, GEO_Portfolio_PL_Index 
575011,20,10,Dakshina Kannada,2.922083699
575013,10,8,Dakshina Kannada,1.264640289
575014,15,9,Dakshina Kannada,1.810096344
575015,15,9,Dakshina Kannada,1.533606797
575016,20,10,Dakshina Kannada,3.24575049
575017,20,10,Dakshina Kannada,3.244815874
575018,10,8,Dakshina Kannada,1.367358392
575019,7,6,Dakshina Kannada,0.859808978
575020,15,9,Dakshina Kannada,1.887129835
575022,8,7,Dakshina Kannada,1.008620593
575023,15,9,Dakshina Kannada,1.525464832
575025,15,9,Dakshina Kannada,1.945897309
575027,20,10,Dakshina Kannada,2.695290756
575028,15,9,Dakshina Kannada,1.646745365
575029,7,6,Dakshina Kannada,0.885306802
575030,20,10,Dakshina Kannada,2.6125118
576101,10,8,Udupi,1.214384806
576102,10,8,Udupi,1.303846937
576103,10,8,Udupi,1.374980322
576104,8,7,Udupi,1.020789256
576105,20,10,Udupi,2.541243467
576106,8,7,Udupi,1.076250257
576107,6,4,Udupi,0.615234488
576108,20,10,Udupi,3.403337044
576112,20,10,Udupi,5.561062571
576113,20,10,Udupi,2.620420917
576117,10,8,Udupi,1.42329046
576124,10,8,Udupi,1.41394981
576201,20,10,Udupi,2.682090685
576210,20,10,Udupi,3.288608608
576211,20,10,Udupi,3.029679468
576213,20,10,Udupi,2.690508317
576214,3,2,Udupi,0.248267262
576221,20,10,Udupi,8.099919632
576222,20,10,Udupi,5.662542939
576223,6,4,Udupi,0.572886928
576226,20,10,Udupi,5.407346262
576282,20,10,Udupi,10.09006553
577001,15,9,Davangere,1.968297768
577002,20,10,Davangere,2.658488161
577003,8,7,Davangere,1.065928527
577004,10,8,Davangere,1.254587146
577005,6,4,Davangere,0.686021194
577006,15,9,Davangere,2.07776709
577101,20,10,Chickmagalur,2.682620357
577102,20,10,Chickmagalur,4.335573782
577114,20,10,Chickmagalur,15.15168431
577115,7,6,Shimoga,0.981991294
577116,20,10,Chickmagalur,2.391718911
577126,20,10,Chickmagalur,2.80755957
577132,20,10,Chickmagalur,5.415234855
577134,20,10,Chickmagalur,5.447923325
577135,15,9,Chickmagalur,2.139408573
