Industry,FileType,ScoreBand,HighestAmountBorrowedFactor,IsBorrowerAddressOwned,MultiplyingFactor,Tenure,LoanCap,MinimumAnchorVintage,PricingReduction,SplitPaymentPercent
mca,thick,10,1000,0,NA,NA,500000,NA,2,NA
mca,thin,1,1000,0,14.544,24,500000,NA,2,20
mca,thin,2,1000,0,12.1224,18,500000,NA,2,20
mca,thin,3,1000,0,12.1224,18,500000,NA,2,20
mca,thin,4,1000,0,8.4216,12,500000,NA,2,25
mca,thin,5,1000,0,8.4216,12,500000,NA,2,25
mca,thin,6,1000,0,8.4216,9,500000,NA,2,30
mca,thin,7,1000,0,8.4216,9,500000,NA,2,30
mca,thin,8,1000,0,8.4216,9,500000,NA,2,30
mca,thin,9,1000,0,NA,NA,500000,NA,2,NA
mca,thin,10,1000,0,NA,NA,500000,NA,2,NA
mca,thick,1,1000,1,14.544,24,500000,NA,2,20
mca,thick,2,1000,1,14.544,24,500000,NA,2,20
mca,thick,3,1000,1,12.1224,18,500000,NA,2,20
mca,thick,4,1000,1,12.1224,18,500000,NA,2,20
mca,thick,5,1000,1,8.4216,12,500000,NA,2,25
mca,thick,6,1000,1,8.4216,9,500000,NA,2,30
mca,thick,7,1000,1,8.4216,9,500000,NA,2,30
mca,thick,8,1000,1,8.4216,9,500000,NA,2,30
mca,thick,9,1000,1,NA,NA,500000,NA,2,NA
mca,thick,10,1000,1,NA,NA,500000,NA,2,NA
mca,thin,1,1000,1,14.544,24,500000,NA,2,20
mca,thin,2,1000,1,12.1224,18,500000,NA,2,20
mca,thin,3,1000,1,12.1224,18,500000,NA,2,20
mca,thin,4,1000,1,8.4216,12,500000,NA,2,25
mca,thin,5,1000,1,8.4216,12,500000,NA,2,25
mca,thin,6,1000,1,8.4216,9,500000,NA,2,30
mca,thin,7,1000,1,8.4216,9,500000,NA,2,30
mca,thin,8,1000,1,8.4216,9,500000,NA,2,30
mca,thin,9,1000,1,NA,NA,500000,NA,2,NA
mca,thin,10,1000,1,NA,NA,500000,NA,2,NA
peelworkspos,thick,1,1000,0,0.25,24,200000,NA,2,NA
peelworkspos,thick,2,1000,0,0.25,24,200000,NA,2,NA
peelworkspos,thick,3,1000,0,0.25,18,200000,NA,2,NA
peelworkspos,thick,4,1000,0,0.25,18,150000,NA,2,NA
peelworkspos,thick,5,1000,0,0.25,12,100000,NA,2,NA
peelworkspos,thick,6,1000,0,0.25,9,100000,NA,2,NA
peelworkspos,thick,7,1000,0,0.25,9,50000,NA,2,NA
peelworkspos,thick,8,1000,0,0.25,9,50000,NA,2,NA
peelworkspos,thick,9,1000,0,NA,NA,50000,NA,2,NA
peelworkspos,thick,10,1000,0,NA,NA,50000,NA,2,NA
peelworkspos,thin,1,1000,0,0.25,24,200000,NA,2,NA
peelworkspos,thin,2,1000,0,0.25,18,200000,NA,2,NA
peelworkspos,thin,3,1000,0,0.25,18,150000,NA,2,NA
peelworkspos,thin,4,1000,0,0.25,12,100000,NA,2,NA
peelworkspos,thin,5,1000,0,0.25,12,50000,NA,2,NA
peelworkspos,thin,6,1000,0,0.25,9,50000,NA,2,NA
peelworkspos,thin,7,1000,0,0.25,9,50000,NA,2,NA
peelworkspos,thin,8,1000,0,0.25,9,50000,NA,2,NA
peelworkspos,thin,9,1000,0,NA,NA,50000,NA,2,NA
peelworkspos,thin,10,1000,0,NA,NA,50000,NA,2,NA
peelworkspos,thick,1,1000,1,0.25,24,200000,NA,2,NA
peelworkspos,thick,2,1000,1,0.25,24,200000,NA,2,NA
peelworkspos,thick,3,1000,1,0.25,18,200000,NA,2,NA
peelworkspos,thick,4,1000,1,0.25,18,150000,NA,2,NA
peelworkspos,thick,5,1000,1,0.25,12,100000,NA,2,NA
peelworkspos,thick,6,1000,1,0.25,9,100000,NA,2,NA
peelworkspos,thick,7,1000,1,0.25,9,50000,NA,2,NA
peelworkspos,thick,8,1000,1,0.25,9,50000,NA,2,NA
peelworkspos,thick,9,1000,1,NA,NA,50000,NA,2,NA
peelworkspos,thick,10,1000,1,NA,NA,50000,NA,2,NA
peelworkspos,thin,1,1000,1,0.25,24,200000,NA,2,NA
peelworkspos,thin,2,1000,1,0.25,18,200000,NA,2,NA
peelworkspos,thin,3,1000,1,0.25,18,150000,NA,2,NA
peelworkspos,thin,4,1000,1,0.25,12,100000,NA,2,NA
peelworkspos,thin,5,1000,1,0.25,12,50000,NA,2,NA
peelworkspos,thin,6,1000,1,0.25,9,50000,NA,2,NA
peelworkspos,thin,7,1000,1,0.25,9,50000,NA,2,NA
peelworkspos,thin,8,1000,1,0.25,9,50000,NA,2,NA
peelworkspos,thin,9,1000,1,NA,NA,50000,NA,2,NA
peelworkspos,thin,10,1000,1,NA,NA,50000,NA,2,NA
