BusinessNature,Industry,SubIndustry,Margin
trading,automobiles,tractors,0.1
trading,automobiles,,0.1
trading,"books, office supplies & stationery","books, office supplies & stationery",0.15
trading,"books, office supplies & stationery",,0.15
trading,cement & construction,"cement products & asbestos products, construction materials
",0.05
trading,cement & construction,,0.05
trading,construction,"ceramic tiles & sanitaryware, paints",0.15
trading,construction,,0.15
trading,containers & packaging,packaging,0.1
trading,containers & packaging,,0.1
trading,cycles,,0.1
trading,durables,electrical goods ( incl  invertor ) ,0.1
trading,durables,"hardware, plumbing & heating equipment",0.15
trading,durables,,0.125
trading,fertilizers & pesticides (all categories),,0.1
trading,fmcg & household products,"fmcg, kirana,",0.15
trading,fmcg & household products,personal care,0.15
trading,fmcg & household products,,0.15
trading,glass products,glass & glass products,0.15
trading,glass products,,0.15
trading,handicrafts & artificial items,handicrafts. imitation jewellery,0.15
trading,handicrafts & artificial items,,0.15
trading,hardware equipment,"networking, office equipment
",0.1
trading,hardware equipment,"sanitary , lighting , decorative items",0.15
trading,hardware equipment,,0.125
trading,healthcare,"drugs & pharmaceuticals,drug proprietaries & druggists",0.15
trading,healthcare,medical equipment,0.15
trading,healthcare,,0.15
trading,"hobby, toy, game, camera & photographic supply stores ","hobby, toy, game, camera & photographic supply stores ",0.15
trading,"hobby, toy, game, camera & photographic supply stores ",,0.15
trading,home furniture & furnishing,home furniture & furnishing,0.15
trading,home furniture & furnishing,,0.15
trading,industrial equipment,industrial machinery- chemical and textiles,0.05
trading,industrial equipment,"printing, textile, welding machinery",0.15
trading,industrial equipment,,0.1
trading,industrial equipment,,0.1
trading,it,computers(hardware) & electronics,0.1
trading,it,,0.1
trading,jewellery,gems & jewellery,0.1
trading,jewellery,,0.1
trading,leather,"leather footwear, luggage & leather goods, other leather products

",0.15
trading,leather,,0.15
trading,metal & mining,"aluminum & aluminum products(manufacturer), coal and lignite, copper & copper products, ferro alloys, granite & other non-metal minerals, castings & forgings, steel, wires and cables




",0.05
trading,metal & mining,,0.05
trading,opticians,opticians,0.15
trading,opticians,,0.15
trading,"petroleum, plastics & chemicals","petrol, diesel sale, dyes and pigments, plastic resins, other chemicals

",0.05
trading,"petroleum, plastics & chemicals",,0.05
trading,photographic & allied products,,0.1
trading,rubber,rubber & rubber products,0.1
trading,rubber,,0.1
trading,sports goods,sports goods,0.15
trading,sports goods,,0.15
trading,textiles,readymade garments,0.15
trading,textiles,,0.15
trading,transportation & logistics,land transportation equipment,0.05
trading,transportation & logistics,,0.05
trading,wood and wood products,wood and wood products,0.15
trading,wood and wood products,,0.15
service,commission agents,,0.05
service,internet services,,0.05
service,transportation & logistics,,0.05
service,cable and other pay television services,,0.05
service,recreation & amusement parks,,0.15
service,hospitals,,0.2
service,turnkey services,,0.1
service,advertising,,0.1
service,services,automatic merchandising machine operators,0.1
service,catalog & mail-order houses,,0.1
service,direct selling establishments,,0.1
service,hair saloon & parlors,,0.2
service,industrial services,,0.1
service,automobiles,,0.1
service,clearing & forwarding agents,,0.15
