Anchor,FileType,Tier,ScoreBand,AgentType,ModelDecision
yatra,thin,tier2,9,credit,Decline
yatra,thin,tier2,10,credit,Decline
yatra,thin,tier3,1,credit,Approve
yatra,thin,tier3,2,credit,Approve
yatra,thin,tier3,3,credit,Approve
yatra,thin,tier3,4,credit,Approve
yatra,thin,tier3,5,credit,Approve
yatra,thin,tier3,6,credit,Approve
yatra,thin,tier3,7,credit,Decline
yatra,thin,tier3,8,credit,Decline
yatra,thin,tier3,9,credit,Decline
yatra,thin,tier3,10,credit,Decline
yatra,thin,tier4,1,credit,Decline
yatra,thin,tier4,2,credit,Decline
yatra,thin,tier4,3,credit,Decline
yatra,thin,tier4,4,credit,Decline
yatra,thin,tier4,5,credit,Decline
yatra,thin,tier4,6,credit,Decline
yatra,thin,tier4,7,credit,Decline
yatra,thin,tier4,8,credit,Decline
yatra,thin,tier4,9,credit,Decline
yatra,thin,tier4,10,credit,Decline
