pincode,city,state,Tier,ExtraPricing
832105,Jamshedpur,Jharkhand,Tier2,0
832106,Jamshedpur,Jharkhand,Tier2,0
832107,Jamshedpur,Jharkhand,Tier2,0
832108,Jamshedpur,Jharkhand,Tier2,0
832109,Jamshedpur,Jharkhand,Tier2,0
832110,Jamshedpur,Jharkhand,Tier2,0
832111,Jamshedpur,Jharkhand,Tier2,0
832301,East Singhbhum,Jharkhand,Tier4,2
832302,East Singhbhum,Jharkhand,Tier4,2
832303,Jamshedpur,Jharkhand,Tier2,0
832304,East Singhbhum,Jharkhand,Tier4,2
832401,Seraikela-Kharsawan,Jharkhand,Tier4,2
832402,Jamshedpur,Jharkhand,Tier2,0
832403,Seraikela-Kharsawan,Jharkhand,Tier4,2
832404,Seraikela-Kharsawan,Jharkhand,Tier4,2
833101,Seraikela-Kharsawan,Jharkhand,Tier4,2
833102,Seraikela-Kharsawan,Jharkhand,Tier4,2
833103,West Singhbhum,Jharkhand,Tier4,2
833104,Jamshedpur,Jharkhand,Tier2,0
833105,Seraikela-Kharsawan,Jharkhand,Tier4,2
833106,West Singhbhum,Jharkhand,Tier4,2
833201,Jamshedpur,Jharkhand,Tier2,0
